org.apache.tools.ant.types.RedirectorElement	public void configure(org.apache.tools.ant.taskdefs.Redirector, java.lang.String) 	redirector	B3	0/46
org.apache.tools.ant.BuildFileTest	protected void configureProject(java.lang.String, int) throws org.apache.tools.ant.BuildException	project	B1	0/3
org.apache.tools.ant.ComponentHelper	private synchronized void checkNamespace(java.lang.String) 	uri	B1	0/3
org.apache.tools.ant.Diagnostics	public static void doReport(java.io.PrintStream) 	optional	B1	0/3
org.apache.tools.ant.IntrospectionHelper	private org.apache.tools.ant.IntrospectionHelper.AttributeSetter createAttributeSetter(java.lang.reflect.Method, Class#RAW, java.lang.String) 	c	B13	0/3
org.apache.tools.ant.IntrospectionHelper	private org.apache.tools.ant.IntrospectionHelper.NestedCreator getNestedCreator(org.apache.tools.ant.Project, java.lang.String, java.lang.Object, java.lang.String, org.apache.tools.ant.UnknownElement) throws org.apache.tools.ant.BuildException	uri	B1	0/3
org.apache.tools.ant.IntrospectionHelper	public boolean supportsNestedElement(java.lang.String, java.lang.String) 	uri	B3	0/3
org.apache.tools.ant.ProjectHelper	public static void addText(org.apache.tools.ant.Project, java.lang.Object, java.lang.String) throws org.apache.tools.ant.BuildException	project	B3	0/3
org.apache.tools.ant.ProjectTest	public void setUp() 	mbl	B1	0/3
org.apache.tools.ant.Target	public final void performTasks() 	project	B1	0/3
org.apache.tools.ant.XmlLogger	public void buildFinished(org.apache.tools.ant.BuildEvent) 	outFilename	B3	0/3
org.apache.tools.ant.XmlLogger	public void buildFinished(org.apache.tools.ant.BuildEvent) 	xslUri	B5	0/3
org.apache.tools.ant.XmlLogger	public void taskStarted(org.apache.tools.ant.BuildEvent) 	name	B1	0/3
org.apache.tools.ant.filters.TokenFilter.ContainsRegex	private void initialize() 	regularExpression	B5	0/3
org.apache.tools.ant.filters.TokenFilter.ReplaceRegex	private void initialize() 	regularExpression	B5	0/3
org.apache.tools.ant.helper.DefaultExecutor	public void executeTargets(org.apache.tools.ant.Project, java.lang.String[]) throws org.apache.tools.ant.BuildException	project	B2	0/3
org.apache.tools.ant.helper.DefaultExecutor	public void executeTargets(org.apache.tools.ant.Project, java.lang.String[]) throws org.apache.tools.ant.BuildException	thrownException	B2	0/3
org.apache.tools.ant.helper.ProjectHelperImpl.NestedElementHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	parentWrapper	B4	0/3
org.apache.tools.ant.helper.ProjectHelperImpl2.NestedElementHandler	public void onStartElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes, org.apache.tools.ant.helper.ProjectHelperImpl2.AntXmlContext) throws org.xml.sax.SAXParseException	wrapper	B6	0/3
org.apache.tools.ant.launch.Launcher	private void run(java.lang.String[]) throws org.apache.tools.ant.launch.LaunchException, java.net.MalformedURLException	newArgs	B24	0/3
org.apache.tools.ant.launch.Locator	public static java.lang.String fromURI(java.lang.String) 	uri	B7	0/3
org.apache.tools.ant.launch.Locator	public static java.lang.String fromURI(java.lang.String) 	uriClazz	B1	0/3
org.apache.tools.ant.listener.MailLogger	private void sendMimeMail(org.apache.tools.ant.Project, java.lang.String, int, java.lang.String, java.lang.String, boolean, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	mailer	B1	0/3
org.apache.tools.ant.taskdefs.Ant	private void addReferences() throws org.apache.tools.ant.BuildException	toRefid	B7	0/3
org.apache.tools.ant.taskdefs.Antlib	public void execute() 	def	B6	0/3
org.apache.tools.ant.taskdefs.CallTarget	public void setTarget(java.lang.String) 	callee	B1	0/3
org.apache.tools.ant.taskdefs.Concat	public void execute() 	header	B5	0/3
org.apache.tools.ant.taskdefs.Delete	protected void removeDir(java.io.File) 	list	B1	0/3
org.apache.tools.ant.taskdefs.DependSet	private boolean uptodate(org.apache.tools.ant.types.ResourceCollection, org.apache.tools.ant.types.ResourceCollection) 	datesel	B1	0/3
org.apache.tools.ant.taskdefs.Ear	public void setAppxml(java.io.File) 	fs	B3	0/3
org.apache.tools.ant.taskdefs.ExecTask	protected void runExec(org.apache.tools.ant.taskdefs.Execute) throws org.apache.tools.ant.BuildException	exe	B1	0/3
org.apache.tools.ant.taskdefs.Execute.ScriptCommandLauncher	public java.lang.Process exec(org.apache.tools.ant.Project, java.lang.String[], java.lang.String[], java.io.File) throws java.io.IOException	newcmd	B9	0/3
org.apache.tools.ant.taskdefs.ExecuteJavaTest	public void testNoTimeOut() throws java.lang.Exception	ej	B1	0/3
org.apache.tools.ant.taskdefs.ExecuteJavaTest	public void testTimeOut() throws java.lang.Exception	ej	B1	0/3
org.apache.tools.ant.taskdefs.Expand	protected void extractFile(org.apache.tools.ant.util.FileUtils, java.io.File, java.io.File, java.io.InputStream, java.lang.String, java.util.Date, boolean, org.apache.tools.ant.util.FileNameMapper) throws java.io.IOException	mappedNames	B21	0/3
org.apache.tools.ant.taskdefs.Expand	protected void extractFile(org.apache.tools.ant.util.FileUtils, java.io.File, java.io.File, java.io.InputStream, java.lang.String, java.util.Date, boolean, org.apache.tools.ant.util.FileNameMapper) throws java.io.IOException	pattern	B7	0/3
org.apache.tools.ant.taskdefs.Expand	protected void extractFile(org.apache.tools.ant.util.FileUtils, java.io.File, java.io.File, java.io.InputStream, java.lang.String, java.util.Date, boolean, org.apache.tools.ant.util.FileNameMapper) throws java.io.IOException	pattern	B12	0/3
org.apache.tools.ant.taskdefs.FailTest	public void testIf() 	project	B1	0/3
org.apache.tools.ant.taskdefs.FailTest	public void testIfAndUnless() 	project	B1	0/3
org.apache.tools.ant.taskdefs.FailTest	public void testUnless() 	project	B1	0/3
org.apache.tools.ant.taskdefs.FilterTest	private java.lang.String getFilteredFile(java.lang.String, java.lang.String) 	in	B3	0/3
org.apache.tools.ant.taskdefs.JarTest	public void testManifestStaysIntact() throws java.io.IOException, org.apache.tools.ant.taskdefs.ManifestException	mf1	B1	0/3
org.apache.tools.ant.taskdefs.JarTest	public void testManifestStaysIntact() throws java.io.IOException, org.apache.tools.ant.taskdefs.ManifestException	mf2	B1	0/3
org.apache.tools.ant.taskdefs.JavaTest.SpawnEntryPoint	public static void main(java.lang.String[]) 	sleepTime	B1	0/3
org.apache.tools.ant.taskdefs.Javadoc.GroupArgument	public void setPackages(java.lang.String) 	pn	B3	0/3
org.apache.tools.ant.taskdefs.Javadoc	public void setExcludePackageNames(java.lang.String) 	pn	B3	0/3
org.apache.tools.ant.taskdefs.Javadoc	public void setPackagenames(java.lang.String) 	pn	B3	0/3
org.apache.tools.ant.taskdefs.Javadoc	public void setSourcefiles(java.lang.String) 	sf	B3	0/3
org.apache.tools.ant.taskdefs.LoadProperties	public void addConfigured(org.apache.tools.ant.types.ResourceCollection) 	a	B3	0/3
org.apache.tools.ant.taskdefs.MacroInstance	public void execute() 	c	B26	0/3
org.apache.tools.ant.taskdefs.Redirector	public synchronized void setProperties() 	baos	B1	0/3
org.apache.tools.ant.taskdefs.Redirector	public synchronized void setProperties() 	errorBaos	B3	0/3
org.apache.tools.ant.taskdefs.ResourceCount	public void execute() 	rc	B3	0/3
org.apache.tools.ant.taskdefs.SQLExec	protected void printResults(java.sql.ResultSet, java.io.PrintStream) throws java.sql.SQLException	columnValue	B9	0/3
org.apache.tools.ant.taskdefs.SignJar	private void signOneJar(java.io.File, java.io.File) throws org.apache.tools.ant.BuildException	targetFile	B1	0/3
org.apache.tools.ant.taskdefs.SignJar	protected boolean isUpToDate(java.io.File, java.io.File) 	destFile	B3	0/3
org.apache.tools.ant.taskdefs.Sync	private void configureTask(org.apache.tools.ant.Task) 	helper	B1	0/3
org.apache.tools.ant.taskdefs.UpToDate	protected boolean scanDir(java.io.File, java.lang.String[]) 	dir	B1	0/3
org.apache.tools.ant.taskdefs.VerifyJar	public void execute() throws org.apache.tools.ant.BuildException	redirector	B3	0/3
org.apache.tools.ant.taskdefs.War	public void setWebxml(java.io.File) 	fs	B3	0/3
org.apache.tools.ant.taskdefs.XSLTProcess.StyleMapper	public java.lang.String[] mapFileName(java.lang.String) 	xmlFile	B1	0/3
org.apache.tools.ant.taskdefs.XSLTProcess	protected void configureLiaison(java.io.File) throws org.apache.tools.ant.BuildException	fr	B1	0/3
org.apache.tools.ant.taskdefs.XmlProperty	private void addProperty(java.lang.String, java.lang.String, java.lang.String) 	msg	B1	0/3
org.apache.tools.ant.taskdefs.XmlPropertyTest	private static java.io.File getGoldfile(java.io.File, boolean, boolean, boolean, boolean, boolean) 	baseName	B1	0/3
org.apache.tools.ant.taskdefs.Zip	protected final void addResources(org.apache.tools.ant.types.ResourceCollection, org.apache.tools.ant.types.Resource[], org.apache.tools.zip.ZipOutputStream) throws java.io.IOException	base	B8	0/3
org.apache.tools.ant.taskdefs.Zip	protected org.apache.tools.ant.taskdefs.Zip.ArchiveState getNonFileSetResourcesToAdd(org.apache.tools.ant.types.ResourceCollection[], java.io.File, boolean) throws org.apache.tools.ant.BuildException	rs	B14	0/3
org.apache.tools.ant.taskdefs.Zip	protected org.apache.tools.ant.taskdefs.Zip.ArchiveState getResourcesToAdd(org.apache.tools.ant.types.FileSet[], java.io.File, boolean) throws org.apache.tools.ant.BuildException	resources	B34	0/3
org.apache.tools.ant.taskdefs.Zip	public void executeMain() throws org.apache.tools.ant.BuildException	zf	B14	0/3
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter	protected org.apache.tools.ant.types.Path getCompileClasspath() 	cp	B3	0/3
org.apache.tools.ant.taskdefs.condition.IsFileSelected	public boolean eval() 	myBaseDir	B3	0/3
org.apache.tools.ant.taskdefs.condition.IsReference	public boolean eval() throws org.apache.tools.ant.BuildException	typeClass	B7	0/3
org.apache.tools.ant.taskdefs.condition.IsSigned	public static boolean isSigned(java.io.File, java.lang.String) throws java.io.IOException	jarFile	B1	0/3
org.apache.tools.ant.taskdefs.condition.IsSigned	public static boolean isSigned(java.io.File, java.lang.String) throws java.io.IOException	jarFile	B1	0/3
org.apache.tools.ant.taskdefs.condition.IsSigned	public static boolean isSigned(java.io.File, java.lang.String) throws java.io.IOException	longSig	B7	0/3
org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask	private void replaceAuthorIdWithName(java.util.Properties, org.apache.tools.ant.taskdefs.cvslib.CVSEntry[]) 	entry	B2	0/3
org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff	private void writeTagDiff(org.apache.tools.ant.taskdefs.cvslib.CvsTagEntry[]) throws org.apache.tools.ant.BuildException	DOM_WRITER	B7	0/3
org.apache.tools.ant.taskdefs.optional.depend.Depend	protected void scanDir(java.io.File, java.lang.String[]) 	className	B3	0/3
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantPool	public void resolve() 	poolInfo	B2	0/3
org.apache.tools.ant.taskdefs.optional.dotnet.Ildasm	public void execute() throws org.apache.tools.ant.BuildException	execDir	B21	0/3
org.apache.tools.ant.taskdefs.optional.dotnet.ImportTypelib	public void execute() throws org.apache.tools.ant.BuildException	command	B3	0/3
org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand	protected void prepareExecutor() 	dir	B5	0/3
org.apache.tools.ant.taskdefs.optional.extension.ExtensionAdapter	org.apache.tools.ant.taskdefs.optional.extension.Extension toExtension() throws org.apache.tools.ant.BuildException	implementationVersionString	B5	0/3
org.apache.tools.ant.taskdefs.optional.extension.ExtensionAdapter	org.apache.tools.ant.taskdefs.optional.extension.Extension toExtension() throws org.apache.tools.ant.BuildException	specificationVersionString	B3	0/3
org.apache.tools.ant.taskdefs.optional.http.HttpPost	protected java.net.URLConnection doConnectFilePost(java.net.URLConnection) throws org.apache.tools.ant.BuildException, java.io.IOException	type	B1	0/3
org.apache.tools.ant.taskdefs.optional.http.HttpTask	protected java.net.URLConnection doConnectWithUpload(java.net.URLConnection, java.lang.String, int, java.io.InputStream) throws java.io.IOException	buffersize	B1	0/3
org.apache.tools.ant.taskdefs.optional.javacc.JJDoc	private java.lang.String createOutputFileName(java.io.File, java.lang.String, boolean) 	suffix	B1	0/3
org.apache.tools.ant.taskdefs.optional.javacc.JJTree	private java.lang.String createOutputFileName(java.io.File, java.lang.String, java.lang.String) 	jjtreeFile	B2	0/3
org.apache.tools.ant.taskdefs.optional.net.FTP	private boolean isFunctioningAsDirectory(org.apache.commons.net.ftp.FTPClient, java.lang.String, org.apache.commons.net.ftp.FTPFile) 	currentWorkingDir	B1	0/3
org.apache.tools.ant.taskdefs.optional.net.FTP	private java.io.File findFileName(org.apache.commons.net.ftp.FTPClient) 	theFiles	B3	0/3
org.apache.tools.ant.taskdefs.optional.net.FTP	public void execute() throws org.apache.tools.ant.BuildException	lftp	B20	0/3
org.apache.tools.ant.taskdefs.optional.ssh.ScpToMessage	private void sendDirectoryToRemote(org.apache.tools.ant.taskdefs.optional.ssh.Directory, java.io.InputStream, java.io.OutputStream) throws java.io.IOException	command	B1	0/3
org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter	protected org.apache.tools.ant.types.Path getCompileClasspath() 	cp	B1	0/3
org.apache.tools.ant.types.ArchiveFileSet	public void addConfigured(org.apache.tools.ant.types.ResourceCollection) 	a	B1	0/3
org.apache.tools.ant.types.CommandlineJava	private void addCommandsToList(ListIterator#RAW) 	bcp	B3	0/3
org.apache.tools.ant.types.CommandlineJavaTest	public void testSysproperties() 	c	B1	0/3
org.apache.tools.ant.types.CommandlineJavaTest	public void testSysproperties() 	ps	B1	0/3
org.apache.tools.ant.types.CommandlineJavaTest	public void testSysproperties() 	v	B1	0/3
org.apache.tools.ant.types.DirSetTest	public void testFileSetIsNoDirSet() 	fs	B1	0/3
org.apache.tools.ant.types.Mapper	protected Class#RAW getImplementationClass() throws java.lang.ClassNotFoundException	cName	B1	0/3
org.apache.tools.ant.types.MapperTest	public void testChained() 	mapperAB	B1	0/3
org.apache.tools.ant.types.MapperTest	public void testChained() 	mapperBC	B1	0/3
org.apache.tools.ant.types.MapperTest	public void testChained() 	mapperDEF	B1	0/3
org.apache.tools.ant.types.MapperTest	public void testChained() 	mapperGHI	B1	0/3
org.apache.tools.ant.types.Path	public void addExisting(org.apache.tools.ant.types.Path, boolean) 	f	B3	0/3
org.apache.tools.ant.types.Path	public void addJavaRuntime() 	kaffeJarFiles	B3	0/3
org.apache.tools.ant.types.PathTest	public void testFileList() 	f	B1	0/3
org.apache.tools.ant.types.PropertySet	public java.util.Properties getProperties() 	name	B20	0/3
org.apache.tools.ant.types.XMLCatalogTest	public void testCircularReferenceCheck() 	catalog	B1	0/3
org.apache.tools.ant.types.XMLCatalogTest	public void testEmptyElementIfIsReference() 	dtd	B1	0/3
org.apache.tools.ant.types.XMLCatalogTest	public void testEmptyElementIfIsReference() 	project	B1	0/3
org.apache.tools.ant.types.XMLCatalogTest	public void testNonExistentEntry() 	dtd	B1	0/3
org.apache.tools.ant.types.XMLCatalogTest	public void testResolverBase() 	base	B1	0/3
org.apache.tools.ant.types.optional.depend.DependScanner	public synchronized void scan() throws java.lang.IllegalStateException	filename	B8	0/3
org.apache.tools.ant.types.resources.ArchiveResource	public void addConfigured(org.apache.tools.ant.types.ResourceCollection) 	a	B3	0/3
org.apache.tools.ant.types.resources.CompressedResource	public void addConfigured(org.apache.tools.ant.types.ResourceCollection) 	a	B3	0/3
org.apache.tools.ant.types.resources.Union	protected Collection#RAW getCollection(boolean) 	o	B6	0/3
org.apache.tools.ant.types.selectors.BaseSelectorTest	public void setUp() 	project	B1	0/3
org.apache.tools.ant.types.selectors.ContainsRegexpTest.TaskdefForRegexpTest	public void test() 	dir	B1	0/3
org.apache.tools.ant.types.selectors.ContainsSelectorTest	public void testValidate() 	param	B1	0/3
org.apache.tools.ant.types.selectors.DateSelectorTest	public void testSelectionBehaviour() 	param1	B1	0/3
org.apache.tools.ant.types.selectors.DateSelectorTest	public void testSelectionBehaviour() 	param2	B1	0/3
org.apache.tools.ant.types.selectors.FilenameSelector	public void setName(java.lang.String) 	pattern	B1	0/3
org.apache.tools.ant.types.selectors.FilenameSelectorTest	public void testSelectionBehaviour() 	param1	B1	0/3
org.apache.tools.ant.types.selectors.FilenameSelectorTest	public void testValidate() 	param	B1	0/3
org.apache.tools.ant.types.selectors.ModifiedSelectorTest	private java.lang.String getAlgoName(java.lang.String) 	sel	B1	0/3
org.apache.tools.ant.types.selectors.ModifiedSelectorTest	public void testCustomClasses() 	bft	B1	0/3
org.apache.tools.ant.types.selectors.ModifiedSelectorTest	public void testResourceSelectorScenarioSimple() 	bft	B1	0/3
org.apache.tools.ant.types.selectors.SizeSelectorTest	public void testSelectionBehaviour() 	param1	B1	0/3
org.apache.tools.ant.types.selectors.SizeSelectorTest	public void testSelectionBehaviour() 	param2	B1	0/3
org.apache.tools.ant.types.selectors.SizeSelectorTest	public void testSelectionBehaviour() 	param3	B1	0/3
org.apache.tools.ant.types.selectors.SizeSelectorTest	public void testValidate() 	param1	B1	0/3
org.apache.tools.ant.types.selectors.SizeSelectorTest	public void testValidate() 	param2	B1	0/3
org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector	public void addParam(java.lang.String, java.lang.Object) 	par	B1	0/3
org.apache.tools.ant.util.DOMElementWriter	public void openElement(org.w3c.dom.Element, java.io.Writer, int, java.lang.String, boolean) throws java.io.IOException	prefix	B5	0/3
org.apache.tools.ant.util.FileUtils	public java.lang.String toURI(java.lang.String) 	uriClazz	B1	0/3
org.apache.tools.ant.util.LineOrientedOutputStreamTest	public void testLineWithCariagereturnLinefeedArray() throws java.io.IOException	stream	B1	0/3
org.apache.tools.ant.util.LineOrientedOutputStreamTest	public void testLineWithCariagereturnLinefeedSingleBytes() throws java.io.IOException	stream	B1	0/3
org.apache.tools.ant.util.regexp.JakartaOroMatcher	public Vector#RAW getGroups(java.lang.String, int) throws org.apache.tools.ant.BuildException	match	B5	0/3
org.apache.tools.ant.util.regexp.JakartaRegexpMatcher	public Vector#RAW getGroups(java.lang.String, int) throws org.apache.tools.ant.BuildException	match	B5	0/3
org.apache.tools.ant.util.regexp.Jdk14RegexpMatcher	public Vector#RAW getGroups(java.lang.String, int) throws org.apache.tools.ant.BuildException	match	B5	0/3
org.apache.tools.bzip2.CBZip2InputStream	private void setupRandPartA() throws java.io.IOException	data	B7	0/3
org.apache.tools.bzip2.CBZip2OutputStream	private static void hbMakeCodeLengths(byte[], int[], org.apache.tools.bzip2.CBZip2OutputStream.Data, int, int) 	zz	B8	0/3
org.apache.tools.bzip2.CBZip2OutputStream	protected static void hbMakeCodeLengths(char[], int[], int, int) 	zz	B8	0/3
org.apache.tools.bzip2.CRC	void updateCRC(int) 	temp	B1	0/3
org.apache.tools.mail.MailMessageTest	public void testNoSubject() 	testMailClient	B1	0/3
org.apache.tools.zip.ExtraFieldUtilsTest	public void setUp() 	a	B1	0/3
org.apache.tools.zip.ZipEntryTest	public void testExtraFields() 	a	B1	0/3
org.apache.tools.zip.ZipEntryTest	public void testExtraFields() 	u	B1	0/3
org.apache.tools.zip.ZipOutputStream	protected void writeCentralFileHeader(org.apache.tools.zip.ZipEntry) throws java.io.IOException	comm	B4	0/3
org.apache.tools.ant.taskdefs.VerifyJar	private void verifyOneJar(java.io.File) 	cmd	B3	0/3
org.apache.tools.ant.taskdefs.VerifyJar	private void verifyOneJar(java.io.File) 	cmd	B5	0/2
org.apache.tools.ant.taskdefs.Zip	protected final void addResources(org.apache.tools.ant.types.ResourceCollection, org.apache.tools.ant.types.Resource[], org.apache.tools.zip.ZipOutputStream) throws java.io.IOException	name	B10	0/3
org.apache.tools.ant.taskdefs.Zip	protected final void addResources(org.apache.tools.ant.types.ResourceCollection, org.apache.tools.ant.types.Resource[], org.apache.tools.zip.ZipOutputStream) throws java.io.IOException	name	B11	0/2
org.apache.tools.ant.types.resources.BaseResourceCollectionContainer	public synchronized boolean isFilesystemOnly() 	goEarly	B3	0/3
org.apache.tools.ant.types.resources.BaseResourceCollectionContainer	public synchronized boolean isFilesystemOnly() 	goEarly	B4	0/2
org.apache.tools.ant.Main	private static void printTargets(org.apache.tools.ant.Project, Vector#RAW, Vector#RAW, java.lang.String, int) 	spaces	B1	0/3
org.apache.tools.ant.Main	private static void printTargets(org.apache.tools.ant.Project, Vector#RAW, Vector#RAW, java.lang.String, int) 	spaces	B2	0/2
org.apache.tools.ant.UnknownElement	public void setNamespace(java.lang.String) 	namespace	B1	0/3
org.apache.tools.ant.UnknownElement	public void setNamespace(java.lang.String) 	namespace	B2	0/2
org.apache.tools.ant.taskdefs.AbstractCvsTask	public void setCvsRoot(java.lang.String) 	root	B1	0/3
org.apache.tools.ant.taskdefs.AbstractCvsTask	public void setCvsRoot(java.lang.String) 	root	B2	0/2
org.apache.tools.ant.taskdefs.AbstractCvsTask	public void setCvsRsh(java.lang.String) 	rsh	B1	0/3
org.apache.tools.ant.taskdefs.AbstractCvsTask	public void setCvsRsh(java.lang.String) 	rsh	B2	0/2
org.apache.tools.ant.taskdefs.Concat	private org.apache.tools.ant.types.ResourceCollection validate() 	outofdate	B30	0/3
org.apache.tools.ant.taskdefs.Concat	private org.apache.tools.ant.types.ResourceCollection validate() 	outofdate	B31	0/2
org.apache.tools.ant.taskdefs.JavaTest.SpawnEntryPoint	public static void main(java.lang.String[]) 	logFile	B1	0/3
org.apache.tools.ant.taskdefs.JavaTest.SpawnEntryPoint	public static void main(java.lang.String[]) 	logFile	B3	0/2
org.apache.tools.ant.util.ScriptRunner	public void addBean(java.lang.String, java.lang.Object) 	isValid	B1	0/3
org.apache.tools.ant.util.ScriptRunner	public void addBean(java.lang.String, java.lang.Object) 	isValid	B2	0/2
org.apache.tools.bzip2.CBZip2InputStream	private void recvDecodingTables() throws java.io.IOException	j	B15	0/3
org.apache.tools.bzip2.CBZip2InputStream	private void recvDecodingTables() throws java.io.IOException	j	B16	0/2
org.apache.tools.bzip2.CBZip2OutputStream	private void initBlock() 	inUse	B1	0/3
org.apache.tools.bzip2.CBZip2OutputStream	private void initBlock() 	inUse	B2	0/2
org.apache.tools.zip.ExtraFieldUtils	public static byte[] mergeCentralDirectoryData(org.apache.tools.zip.ZipExtraField[]) 	sum	B1	0/3
org.apache.tools.zip.ExtraFieldUtils	public static byte[] mergeCentralDirectoryData(org.apache.tools.zip.ZipExtraField[]) 	sum	B2	0/2
org.apache.tools.zip.ExtraFieldUtils	public static byte[] mergeLocalFileDataData(org.apache.tools.zip.ZipExtraField[]) 	sum	B1	0/3
org.apache.tools.zip.ExtraFieldUtils	public static byte[] mergeLocalFileDataData(org.apache.tools.zip.ZipExtraField[]) 	sum	B2	0/2
org.apache.tools.ant.taskdefs.condition.Os	public static boolean isOs(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	isVersion	B2	0/3
org.apache.tools.ant.taskdefs.condition.Os	public static boolean isOs(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	isVersion	B34	0/2
org.apache.tools.ant.taskdefs.condition.Os	public static boolean isOs(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	isArch	B2	0/3
org.apache.tools.ant.taskdefs.condition.Os	public static boolean isOs(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	isArch	B32	0/2
org.apache.tools.ant.taskdefs.condition.Os	public static boolean isOs(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	isName	B2	0/3
org.apache.tools.ant.taskdefs.condition.Os	public static boolean isOs(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	isName	B30	0/2
org.apache.tools.ant.Task	public final void perform() 	task	B3	0/3
org.apache.tools.ant.filters.LineContainsRegExp	private void initialize() 	regexp	B4	0/3
org.apache.tools.ant.taskdefs.AbstractCvsTask	protected void runCommand(org.apache.tools.ant.types.Commandline) throws org.apache.tools.ant.BuildException	var	B2	0/3
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter	protected org.apache.tools.ant.types.Commandline setupModernJavacCommandlineSwitches(org.apache.tools.ant.types.Commandline) 	s	B7	0/3
org.apache.tools.ant.types.Path	public void addExtdirs(org.apache.tools.ant.types.Path) 	fs	B8	0/3
org.apache.tools.bzip2.CBZip2OutputStream	private void sendMTFValues() throws java.io.IOException	len_t	B3	0/3
org.apache.tools.bzip2.CBZip2OutputStream	private void sendMTFValues() throws java.io.IOException	len_t	B4	0/2
org.apache.tools.ant.AntClassLoader	public void setThreadContextLoader() 	loader	B4	0/3
org.apache.tools.ant.filters.util.JavaClassHelper	public static final java.lang.StringBuffer getConstants(byte[]) throws java.io.IOException	cvs	B5	0/3
org.apache.tools.ant.taskdefs.AbstractCvsTask	protected void runCommand(org.apache.tools.ant.types.Commandline) throws org.apache.tools.ant.BuildException	var	B8	0/3
org.apache.tools.ant.taskdefs.Delete	public void execute() throws org.apache.tools.ant.BuildException	implicit	B25	0/3
org.apache.tools.ant.taskdefs.Javadoc	public void execute() throws org.apache.tools.ant.BuildException	name	B126	0/3
org.apache.tools.ant.taskdefs.optional.depend.Depend	private void determineDependencies() throws java.io.IOException	analyzer	B10	0/3
org.apache.tools.ant.taskdefs.optional.extension.resolvers.URLResolver	private java.io.File getDest() 	index	B5	0/3
org.apache.tools.ant.taskdefs.optional.net.FTP	protected void transferFiles(org.apache.commons.net.ftp.FTPClient) throws java.io.IOException, org.apache.tools.ant.BuildException	fs	B4	0/3
org.apache.tools.ant.types.Path	public void addJavaRuntime() 	msZipFiles	B7	0/3
org.apache.tools.ant.types.Permissions.MySM	public void checkPermission(java.security.Permission) 	permOK	B3	0/3
org.apache.tools.bzip2.CBZip2OutputStream	private int sendMTFValues1(int, int) 	rfreqt	B4	0/3
org.apache.tools.bzip2.CBZip2OutputStream	private int sendMTFValues1(int, int) 	rfreqt	B5	0/2
org.apache.tools.ant.UnknownElement2	protected void handleChildren(java.lang.Object, org.apache.tools.ant.RuntimeConfigurable) throws org.apache.tools.ant.BuildException	task	B9	0/3
org.apache.tools.ant.taskdefs.Basename	public void execute() throws org.apache.tools.ant.BuildException	pos	B6	0/3
org.apache.tools.ant.taskdefs.SQLExec	public void execute() throws org.apache.tools.ant.BuildException	t	B8	0/3
org.apache.tools.ant.taskdefs.Zip	protected org.apache.tools.ant.taskdefs.Zip.ArchiveState getResourcesToAdd(org.apache.tools.ant.types.FileSet[], java.io.File, boolean) throws org.apache.tools.ant.BuildException	prefix	B31	0/3
org.apache.tools.ant.types.Path	protected Collection#RAW getCollection() 	p	B7	0/3
org.apache.tools.ant.UnknownElement	protected java.lang.Object makeObject(org.apache.tools.ant.UnknownElement, org.apache.tools.ant.RuntimeConfigurable) 	task	B7	0/3
org.apache.tools.ant.taskdefs.AbstractCvsTask	protected void runCommand(org.apache.tools.ant.types.Commandline) throws org.apache.tools.ant.BuildException	var	B13	0/3
org.apache.tools.ant.ProjectHelper	public static org.apache.tools.ant.ProjectHelper getProjectHelper() throws org.apache.tools.ant.BuildException	isr	B9	0/3
org.apache.tools.ant.types.RedirectorElement	public void configure(org.apache.tools.ant.taskdefs.Redirector, java.lang.String) 	inputTargets	B20	0/3
org.apache.tools.ant.types.RedirectorElement	public void configure(org.apache.tools.ant.taskdefs.Redirector, java.lang.String) 	outputTargets	B23	0/3
org.apache.tools.ant.types.RedirectorElement	public void configure(org.apache.tools.ant.taskdefs.Redirector, java.lang.String) 	errorTargets	B26	0/3
org.apache.tools.ant.AntClassLoader	public synchronized void cleanup() 	project	B3	0/2
org.apache.tools.ant.AntClassLoader	public void setProject(org.apache.tools.ant.Project) 	project	B1	0/2
org.apache.tools.ant.AntClassLoader	public void setProject(org.apache.tools.ant.Project) 	project	B1	0/2
org.apache.tools.ant.AntClassLoaderTest	public void setUp() 	p	B1	0/2
org.apache.tools.ant.DemuxOutputStream	protected void processBuffer(java.io.ByteArrayOutputStream) 	project	B1	0/2
org.apache.tools.ant.DemuxOutputStream	protected void processFlush(java.io.ByteArrayOutputStream) 	project	B1	0/2
