Complexity metrics,Sex, 17 nov 2017 11:09:50 BRST
Method,ev(G),iv(G),v(G)
"org.apache.tools.ant.taskdefs.optional.extension.ExtensionUtil.extractExtensions(Project,List,List)",1,3,3
"org.apache.tools.ant.taskdefs.optional.extension.ExtensionUtil.getExtensions(Project,List)",1,4,4
"org.apache.tools.ant.taskdefs.optional.extension.ExtensionUtil.getManifest(File)",2,2,3
"org.apache.tools.ant.taskdefs.optional.extension.ExtensionUtil.loadExtensions(File,List,boolean,boolean)",1,3,3
"org.apache.tools.ant.taskdefs.optional.extension.ExtensionUtil.toExtensions(List)",1,2,2
"org.apache.tools.ant.taskdefs.optional.extension.ExtraAttribute.getName()",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.ExtraAttribute.getValue()",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.ExtraAttribute.setName(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.ExtraAttribute.setValue(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.ExtraAttribute.validate()",3,1,3
"org.apache.tools.ant.taskdefs.optional.extension.JarLibAvailableTask.addConfiguredExtension(ExtensionAdapter)",2,1,2
"org.apache.tools.ant.taskdefs.optional.extension.JarLibAvailableTask.addConfiguredExtensionSet(ExtensionSet)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibAvailableTask.execute()",1,7,7
"org.apache.tools.ant.taskdefs.optional.extension.JarLibAvailableTask.setFile(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibAvailableTask.setProperty(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibAvailableTask.validate()",5,4,8
"org.apache.tools.ant.taskdefs.optional.extension.JarLibDisplayTask.addFileset(FileSet)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibDisplayTask.execute()",1,4,4
"org.apache.tools.ant.taskdefs.optional.extension.JarLibDisplayTask.setFile(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibDisplayTask.validate()",4,4,7
"org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask.addConfiguredAttribute(ExtraAttribute)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask.addConfiguredDepends(ExtensionSet)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask.addConfiguredExtension(ExtensionAdapter)",2,1,2
"org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask.addConfiguredOptions(ExtensionSet)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask.appendExtensionList(Attributes,Name,String,int)",1,2,2
"org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask.appendExtraAttributes(Attributes)",1,2,2
"org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask.appendLibraryList(Attributes,String,ArrayList)",1,2,2
"org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask.execute()",1,3,3
"org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask.setDestfile(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask.toExtensions(ArrayList)",1,3,3
"org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask.validate()",3,2,4
"org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask.writeManifest(Manifest)",1,2,3
"org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask.addConfiguredAnt(AntResolver)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask.addConfiguredExtension(ExtensionAdapter)",2,1,2
"org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask.addConfiguredLocation(LocationResolver)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask.addConfiguredUrl(URLResolver)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask.checkExtension(File)",6,4,6
"org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask.execute()",4,5,6
"org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask.missingExtension()",2,1,2
"org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask.setCheckExtension(boolean)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask.setFailOnError(boolean)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask.setLibraryProperty(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask.setProperty(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask.validate()",3,1,3
"org.apache.tools.ant.taskdefs.optional.extension.LibFileSet.getUrlBase()",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.LibFileSet.isIncludeImpl()",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.LibFileSet.isIncludeURL()",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.LibFileSet.setIncludeImpl(boolean)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.LibFileSet.setIncludeUrl(boolean)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.LibFileSet.setUrlBase(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.LibraryDisplayer.displayLibrary(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.LibraryDisplayer.displayLibrary(File,Manifest)",2,9,13
"org.apache.tools.ant.taskdefs.optional.extension.LibraryDisplayer.displaySpecification(Specification)",1,3,3
"org.apache.tools.ant.taskdefs.optional.extension.LibraryDisplayer.getSpecifications(Manifest)",1,2,2
"org.apache.tools.ant.taskdefs.optional.extension.LibraryDisplayer.printLine(int)",1,2,2
"org.apache.tools.ant.taskdefs.optional.extension.Specification.Specification(String,String,String,String,String,String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.Specification.Specification(String,String,String,String,String,String,String[])",3,2,5
"org.apache.tools.ant.taskdefs.optional.extension.Specification.getCompatibilityWith(Specification)",8,7,11
"org.apache.tools.ant.taskdefs.optional.extension.Specification.getImplementationTitle()",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.Specification.getImplementationVendor()",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.Specification.getImplementationVersion()",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.Specification.getSections()",2,1,2
"org.apache.tools.ant.taskdefs.optional.extension.Specification.getSpecification(String,Attributes)",7,1,7
"org.apache.tools.ant.taskdefs.optional.extension.Specification.getSpecificationTitle()",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.Specification.getSpecificationVendor()",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.Specification.getSpecificationVersion()",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.Specification.getSpecifications(Manifest)",2,3,4
"org.apache.tools.ant.taskdefs.optional.extension.Specification.getTrimmedString(String)",1,2,2
"org.apache.tools.ant.taskdefs.optional.extension.Specification.isCompatible(DeweyDecimal,DeweyDecimal)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.Specification.isCompatibleWith(Specification)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.Specification.isEqual(Specification,Specification)",1,6,6
"org.apache.tools.ant.taskdefs.optional.extension.Specification.mergeInSections(Specification,ArrayList)",2,1,2
"org.apache.tools.ant.taskdefs.optional.extension.Specification.removeDuplicates(ArrayList)",1,5,5
"org.apache.tools.ant.taskdefs.optional.extension.Specification.toString()",1,6,6
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.AntResolver.resolve(Extension,Project)",1,3,3
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.AntResolver.setAntfile(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.AntResolver.setDestfile(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.AntResolver.setTarget(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.AntResolver.toString()",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.AntResolver.validate()",3,1,3
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.LocationResolver.resolve(Extension,Project)",2,1,2
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.LocationResolver.setLocation(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.LocationResolver.toString()",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.URLResolver.getDest()",1,4,5
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.URLResolver.resolve(Extension,Project)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.URLResolver.setDestdir(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.URLResolver.setDestfile(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.URLResolver.setUrl(URL)",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.URLResolver.toString()",1,1,1
"org.apache.tools.ant.taskdefs.optional.extension.resolvers.URLResolver.validate()",4,1,6
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.addFileset(FileSet)",1,1,1
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.execute()",7,10,13
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.loadResourceMap(FileInputStream)",9,15,16
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.loadResourceMaps()",1,7,7
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.processBundle(String,int,boolean)",2,3,4
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.setBundle(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.setBundleCountry(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.setBundleEncoding(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.setBundleLanguage(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.setBundleVariant(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.setDestEncoding(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.setEndToken(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.setForceOverwrite(boolean)",1,1,1
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.setSrcEncoding(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.setStartToken(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.setToDir(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.translate()",6,7,11
"org.apache.tools.ant.taskdefs.optional.i18n.Translate.translateOneFile(File,File)",1,11,12
"org.apache.tools.ant.taskdefs.optional.image.Image.add(FileNameMapper)",1,1,1
"org.apache.tools.ant.taskdefs.optional.image.Image.add(ImageOperation)",1,1,1
"org.apache.tools.ant.taskdefs.optional.image.Image.addDraw(Draw)",1,1,1
"org.apache.tools.ant.taskdefs.optional.image.Image.addFileset(FileSet)",1,1,1
"org.apache.tools.ant.taskdefs.optional.image.Image.addImageOperation(ImageOperation)",1,1,1
"org.apache.tools.ant.taskdefs.optional.image.Image.addRotate(Rotate)",1,1,1
"org.apache.tools.ant.taskdefs.optional.image.Image.addScale(Scale)",1,1,1
"org.apache.tools.ant.taskdefs.optional.image.Image.createMapper()",2,2,2
"org.apache.tools.ant.taskdefs.optional.image.Image.execute()",1,6,8
"org.apache.tools.ant.taskdefs.optional.image.Image.processDir(File,String[],File,FileNameMapper)",6,9,9
"org.apache.tools.ant.taskdefs.optional.image.Image.processFile(File)",1,1,2
"org.apache.tools.ant.taskdefs.optional.image.Image.processFile(File,File)",4,14,15
"org.apache.tools.ant.taskdefs.optional.image.Image.setDestDir(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.image.Image.setEncoding(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.image.Image.setFailOnError(boolean)",1,1,1
"org.apache.tools.ant.taskdefs.optional.image.Image.setGc(boolean)",1,1,1
"org.apache.tools.ant.taskdefs.optional.image.Image.setOverwrite(boolean)",1,1,1
"org.apache.tools.ant.taskdefs.optional.image.Image.setSrcdir(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.image.Image.validateAttributes()",3,3,7
"org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool.createClasspath()",1,2,2
"org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool.getClasspath()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool.getPassword()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool.getServer()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool.getTask()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool.getUserName()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool.setClasspath(Path)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool.setPassword(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool.setServer(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool.setTask(ServerDeploy)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool.setUserName(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool.validateAttributes()",4,2,4
"org.apache.tools.ant.taskdefs.optional.j2ee.GenericHotDeploymentTool.createArg()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.GenericHotDeploymentTool.createJvmarg()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.GenericHotDeploymentTool.deploy()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.GenericHotDeploymentTool.getClassName()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.GenericHotDeploymentTool.getJava()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.GenericHotDeploymentTool.isActionValid()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.GenericHotDeploymentTool.setClassName(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.GenericHotDeploymentTool.setTask(ServerDeploy)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.GenericHotDeploymentTool.validateAttributes()",2,1,2
"org.apache.tools.ant.taskdefs.optional.j2ee.JonasHotDeploymentTool.getClasspath()",1,3,3
"org.apache.tools.ant.taskdefs.optional.j2ee.JonasHotDeploymentTool.isActionValid()",3,2,3
"org.apache.tools.ant.taskdefs.optional.j2ee.JonasHotDeploymentTool.setDavidhost(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.JonasHotDeploymentTool.setDavidport(int)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.JonasHotDeploymentTool.setJonasroot(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.JonasHotDeploymentTool.setOrb(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.JonasHotDeploymentTool.validateAttributes()",3,14,16
"org.apache.tools.ant.taskdefs.optional.j2ee.ServerDeploy.addGeneric(GenericHotDeploymentTool)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.ServerDeploy.addJonas(JonasHotDeploymentTool)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.ServerDeploy.addWeblogic(WebLogicHotDeploymentTool)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.ServerDeploy.execute()",1,2,2
"org.apache.tools.ant.taskdefs.optional.j2ee.ServerDeploy.getAction()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.ServerDeploy.getSource()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.ServerDeploy.setAction(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.ServerDeploy.setSource(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool.buildArgsPrefix()",1,3,4
"org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool.buildDeployArgs()",1,1,2
"org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool.buildListArgs()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool.buildUndeployArgs()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool.deploy()",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool.getArguments()",1,6,6
"org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool.isActionValid()",3,2,3
"org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool.setApplication(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool.setComponent(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool.setDebug(boolean)",1,1,1
"org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool.validateAttributes()",5,7,11
"org.apache.tools.ant.taskdefs.optional.javacc.JJDoc.JJDoc()",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJDoc.createOutputFileName(File,String,boolean)",1,6,7
"org.apache.tools.ant.taskdefs.optional.javacc.JJDoc.execute()",4,6,9
"org.apache.tools.ant.taskdefs.optional.javacc.JJDoc.setJavacchome(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJDoc.setMaxmemory(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJDoc.setOnetable(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JJDoc.setOutputfile(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJDoc.setTarget(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJDoc.setText(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.JJTree()",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.createOutputFileName(File,String,String)",1,8,8
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.execute()",6,7,11
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.getDefaultOutputDirectory()",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.getRoot(File)",1,2,2
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.makeOutputFileRelative(String)",1,3,4
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setBuildnodefiles(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setJavacchome(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setMaxmemory(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setMulti(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setNodedefaultvoid(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setNodefactory(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setNodepackage(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setNodeprefix(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setNodescopehook(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setNodeusesparser(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setOutputdirectory(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setOutputfile(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setStatic(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setTarget(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setVisitor(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setVisitorException(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JJTree.validateOutputFile(String,String)",4,5,7
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.JavaCC()",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.execute()",5,6,8
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.getArchiveFile(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.getArchiveLocationIndex(File)",4,3,5
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.getMainClass(File,int)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.getMainClass(Path,int)",5,6,16
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.getMajorVersionNumber(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.getOutputJavaFile(File,File)",1,3,4
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setBuildparser(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setBuildtokenmanager(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setCachetokens(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setChoiceambiguitycheck(int)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setCommontokenaction(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setDebuglookahead(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setDebugparser(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setDebugtokenmanager(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setErrorreporting(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setForcelacheck(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setIgnorecase(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setJDKversion(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setJavacchome(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setJavaunicodeescape(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setKeeplinecolumn(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setLookahead(int)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setMaxmemory(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setOptimizetokenmanager(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setOtherambiguityCheck(int)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setOutputdirectory(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setSanitycheck(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setStatic(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setTarget(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setUnicodeinput(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setUsercharstream(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javacc.JavaCC.setUsertokenmanager(boolean)",1,1,2
"org.apache.tools.ant.taskdefs.optional.javah.Gcjh.compile(Javah)",2,2,3
"org.apache.tools.ant.taskdefs.optional.javah.Gcjh.setupGcjhCommand(Javah)",1,7,7
"org.apache.tools.ant.taskdefs.optional.javah.JavahAdapterFactory.getAdapter(String,ProjectComponent)",1,1,1
"org.apache.tools.ant.taskdefs.optional.javah.JavahAdapterFactory.getAdapter(String,ProjectComponent,Path)",5,9,9
"org.apache.tools.ant.taskdefs.optional.javah.JavahAdapterFactory.getDefault()",3,2,3
"org.apache.tools.ant.taskdefs.optional.javah.JavahAdapterFactory.resolveClassName(String,ClassLoader)",1,2,2
"org.apache.tools.ant.taskdefs.optional.javah.Kaffeh.compile(Javah)",2,2,3
"org.apache.tools.ant.taskdefs.optional.javah.Kaffeh.setupKaffehCommand(Javah)",1,7,7
"org.apache.tools.ant.taskdefs.optional.javah.SunJavah.compile(Javah)",1,4,4
"org.apache.tools.ant.taskdefs.optional.javah.SunJavah.setupJavahCommand(Javah)",2,12,12
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.FormatAttribute.getValues()",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.addClasspathEntry(String)",1,3,3
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.createClassespath()",1,2,2
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.createClasspath()",1,2,2
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.createExclude()",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.createJvmarg(CommandlineJava)",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.createSourcespath()",1,2,2
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.createWatchdog()",2,1,2
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.execute()",4,11,13
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.executeAsForked(CommandlineJava,ExecuteWatchdog)",7,15,15
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.executeInVM(CommandlineJava)",9,16,20
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.getClassespath()",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.getClasspath()",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.getDir()",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.getExcludes()",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.getFork()",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.getHaltonerror()",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.getOutputFile()",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.getSourcespath()",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.getTimeout()",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.setClasspath(Path)",1,2,2
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.setClasspathRef(Reference)",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.setDir(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.setFork(boolean)",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.setFormat(FormatAttribute)",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.setHaltonerror(boolean)",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.setIncluderuntime(boolean)",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.setJvm(String)",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.setOutputFile(File)",1,1,1
"org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.setTimeout(Long)",1,1,1
"org.apache.tools.ant.taskdefs.optional.jlink.ClassNameReader.getClassName(InputStream)",2,1,2
"org.apache.tools.ant.taskdefs.optional.jlink.ConstantPool.ConstantPool(DataInput)",2,3,11
"org.apache.tools.ant.taskdefs.optional.jlink.JlinkTask.createAddfiles()",1,2,2
"org.apache.tools.ant.taskdefs.optional.jlink.JlinkTask.createMergefiles()",1,2,2
