Complexity metrics,Qua, 25 out 2017 18:00:00 BRST
"org.apache.commons.codec.net.BCodec.encode(Object)",3,3,3
"org.apache.commons.codec.net.BCodec.encode(String)",2,1,2
"org.apache.commons.codec.net.BCodec.encode(String,String)",2,2,3
"org.apache.commons.codec.net.BCodec.getDefaultCharset()",1,1,1
"org.apache.commons.codec.net.BCodec.getEncoding()",1,1,1
"org.apache.commons.codec.net.QCodec.QCodec()",1,1,1
"org.apache.commons.codec.net.QCodec.QCodec(String)",1,1,1
"org.apache.commons.codec.net.QCodec.decode(Object)",3,3,3
"org.apache.commons.codec.net.QCodec.decode(String)",2,2,3
"org.apache.commons.codec.net.QCodec.doDecoding(byte[])",5,2,7
"org.apache.commons.codec.net.QCodec.doEncoding(byte[])",2,1,5
"org.apache.commons.codec.net.QCodec.encode(Object)",3,3,3
"org.apache.commons.codec.net.QCodec.encode(String)",2,1,2
"org.apache.commons.codec.net.QCodec.encode(String,String)",2,2,3
"org.apache.commons.codec.net.QCodec.getDefaultCharset()",1,1,1
"org.apache.commons.codec.net.QCodec.getEncoding()",1,1,1
"org.apache.commons.codec.net.QCodec.isEncodeBlanks()",1,1,1
"org.apache.commons.codec.net.QCodec.setEncodeBlanks(boolean)",1,1,1
"org.apache.commons.codec.net.QuotedPrintableCodec.QuotedPrintableCodec()",1,1,1
"org.apache.commons.codec.net.QuotedPrintableCodec.QuotedPrintableCodec(String)",1,1,1
"org.apache.commons.codec.net.QuotedPrintableCodec.decode(Object)",4,4,4
"org.apache.commons.codec.net.QuotedPrintableCodec.decode(String)",2,2,3
"org.apache.commons.codec.net.QuotedPrintableCodec.decode(String,String)",2,1,2
"org.apache.commons.codec.net.QuotedPrintableCodec.decode(byte[])",1,1,1
"org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[])",4,3,5
"org.apache.commons.codec.net.QuotedPrintableCodec.encode(Object)",4,4,4
"org.apache.commons.codec.net.QuotedPrintableCodec.encode(String)",2,2,3
"org.apache.commons.codec.net.QuotedPrintableCodec.encode(String,String)",2,1,2
"org.apache.commons.codec.net.QuotedPrintableCodec.encode(byte[])",1,1,1
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[])",2,3,6
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(int,ByteArrayOutputStream)",1,1,1
"org.apache.commons.codec.net.QuotedPrintableCodec.getDefaultCharset()",1,1,1
"org.apache.commons.codec.net.RFC1522Codec.decodeText(String)",7,2,8
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,String)",2,1,2
"org.apache.commons.codec.net.URLCodec.URLCodec()",1,1,1
"org.apache.commons.codec.net.URLCodec.URLCodec(String)",1,1,1
"org.apache.commons.codec.net.URLCodec.decode(Object)",4,4,4
"org.apache.commons.codec.net.URLCodec.decode(String)",2,2,3
"org.apache.commons.codec.net.URLCodec.decode(String,String)",2,1,2
"org.apache.commons.codec.net.URLCodec.decode(byte[])",1,1,1
"org.apache.commons.codec.net.URLCodec.decodeUrl(byte[])",5,4,6
"org.apache.commons.codec.net.URLCodec.encode(Object)",4,4,4
"org.apache.commons.codec.net.URLCodec.encode(String)",2,2,3
"org.apache.commons.codec.net.URLCodec.encode(String,String)",2,1,2
"org.apache.commons.codec.net.URLCodec.encode(byte[])",1,1,1
"org.apache.commons.codec.net.URLCodec.encodeUrl(BitSet,byte[])",2,3,7
"org.apache.commons.codec.net.URLCodec.getDefaultCharset()",1,1,1
"org.apache.commons.codec.net.Utils.digit16(byte)",2,1,2

Class,OCavg,WMC
"org.apache.commons.codec.CharEncoding",n/a,0
"org.apache.commons.codec.DecoderException","1,00",4
"org.apache.commons.codec.EncoderException","1,00",4
"org.apache.commons.codec.StringEncoderComparator","1,00",2
"org.apache.commons.codec.binary.Base32","4,88",39
"org.apache.commons.codec.binary.Base32InputStream","1,00",3
"org.apache.commons.codec.binary.Base32OutputStream","1,00",3
"org.apache.commons.codec.binary.Base64","2,40",60
"org.apache.commons.codec.binary.Base64InputStream","1,00",3
"org.apache.commons.codec.binary.Base64OutputStream","1,00",3
"org.apache.commons.codec.binary.BaseNCodec","2,00",40
"org.apache.commons.codec.binary.BaseNCodecInputStream","3,75",15
"org.apache.commons.codec.binary.BaseNCodecOutputStream","2,50",15
"org.apache.commons.codec.binary.BinaryCodec","3,00",33
"org.apache.commons.codec.binary.Hex","1,50",21
"org.apache.commons.codec.binary.StringUtils","1,13",17
"org.apache.commons.codec.digest.DigestUtils","1,03",39
"org.apache.commons.codec.language.AbstractCaverphone","1,33",4
"org.apache.commons.codec.language.Caverphone1","2,00",2
"org.apache.commons.codec.language.Caverphone2","2,00",2
"org.apache.commons.codec.language.ColognePhonetic","5,67",34
"org.apache.commons.codec.language.ColognePhonetic.CologneBuffer","1,00",4
"org.apache.commons.codec.language.ColognePhonetic.CologneInputBuffer","1,00",6
"org.apache.commons.codec.language.ColognePhonetic.CologneOutputBuffer","1,00",3
"org.apache.commons.codec.language.DoubleMetaphone","4,16",183
"org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult","1,33",16
"org.apache.commons.codec.language.Metaphone","5,92",71
"org.apache.commons.codec.language.RefinedSoundex","1,88",15
"org.apache.commons.codec.language.Soundex","2,00",20
"org.apache.commons.codec.language.SoundexUtils","3,33",10
"org.apache.commons.codec.language.bm.BeiderMorseEncoder","1,25",10
"org.apache.commons.codec.language.bm.Lang","3,60",18
"org.apache.commons.codec.language.bm.Lang.LangRule","1,00",2
"org.apache.commons.codec.language.bm.Languages","2,40",12
"org.apache.commons.codec.language.bm.NameType","1,00",2
"org.apache.commons.codec.language.bm.PhoneticEngine","4,21",59
"org.apache.commons.codec.language.bm.PhoneticEngine.RulesApplication","2,00",10
"org.apache.commons.codec.language.bm.ResourceConstants",n/a,0
"org.apache.commons.codec.language.bm.Rule","2,53",38
"org.apache.commons.codec.language.bm.RuleType","1,00",2
"org.apache.commons.codec.net.BCodec","1,82",20
"org.apache.commons.codec.net.QCodec","2,54",33
"org.apache.commons.codec.net.QuotedPrintableCodec","2,43",34
"org.apache.commons.codec.net.RFC1522Codec","4,50",9
"org.apache.commons.codec.net.URLCodec","2,77",36
"org.apache.commons.codec.net.Utils","2,00",2

Package,v(G)avg,v(G)tot
"org.apache.commons.codec","1,10",11
"org.apache.commons.codec.binary","2,54",292
"org.apache.commons.codec.digest","1,05",40
"org.apache.commons.codec.language","4,52",511
"org.apache.commons.codec.language.bm","2,69",156
"org.apache.commons.codec.net","2,54",137

Module,v(G)avg,v(G)tot
"commons-codec","2,96",1.147

Project,v(G)avg,v(G)tot
"project","2,96",1.147

